ny5jkYf9RdeXw6bYxrpbSw,"['American (Traditional)', 'Barbeque', 'Restaurants']"
SyZW-aiN4fHpH18-17mvRA,"['Burgers', 'Delis', 'American (Traditional)', 'Restaurants']"
aXRtJioBYidoHdS2GTTKhA,"['Latin American', 'Mexican', 'Restaurants']"
kIco4kv-FHT6QqdkDQ2cow,"['Burgers', 'American (Traditional)', 'Fast Food', 'Restaurants']"
sOcZcXcNm8LmdoOYqEDqpg,"['Food', 'Coffee & Tea', 'American (Traditional)', 'Restaurants']"
_qvxFHGbnbrAPeWBVifJEQ,"['American (New)', 'Sandwiches', 'Restaurants']"
kOtuKvPAAPl-w5YHaYNMlA,"['Latin American', 'Restaurants']"
6BuCNx2gO_GYiXm2KRdMXQ,"['American (Traditional)', 'Cafes', 'Restaurants']"
OaTFqMIAHUhJckgvbP9IXA,"['Breakfast & Brunch', 'American (Traditional)', 'Diners', 'Restaurants']"
MFPk16G7fAxnCKTyfjw8Vw,"['Vegetarian', 'American (New)', 'Mediterranean', 'Restaurants']"
q83q9mFV7M62p8wMrtmkgw,"['American (New)', 'Restaurants']"
WbISkPZHJ-nl38tIEEbrBw,"['American (Traditional)', 'Fast Food', 'Chicken Wings', 'Restaurants']"
FFdlPSZCGgTdg1CAfrlvlw,"['Bars', 'Sports Bars', 'Nightlife', 'American (New)', 'Chicken Wings', 'Restaurants']"
rXb8s7TOx2-uWxzACEXcpg,"['American (New)', 'Restaurants']"
8SoWH_iOdZD1OvebCwJUbg,"['Breakfast & Brunch', 'American (Traditional)', 'Diners', 'Restaurants']"
joIBhif6Aj8JXe7L3rGBYA,"['American (Traditional)', 'Restaurants']"
R_os9qwoga12ksSzAwZdoA,"['American (Traditional)', 'Restaurants']"
5yDWNMFglisReWoTykOTRg,"['American (New)', 'Restaurants']"
D3a0vrdXzT_UkbPNhK8f7w,"['Arts & Entertainment', 'American (Traditional)', 'Bars', 'Pubs', 'Nightlife', 'Jazz & Blues', 'Restaurants']"
z6vO1HR8L2iW4avr610XKw,"['Bars', 'American (New)', 'Restaurants', 'Nightlife', 'Karaoke']"
3m7khDnqH9QOg8gu3Ymumw,"['Burgers', 'American (New)', 'Restaurants']"
6KRtBQBVLf3Iw9y44gE6Vg,"['American (New)', 'Restaurants']"
N_mLuCdN1wbY86Xt0DivcQ,"['Breakfast & Brunch', 'American (Traditional)', 'Diners', 'Restaurants']"
8QE0WVI23ct8ZeQvcZWhVA,"['Nightlife', 'Bars', 'American (New)', 'Sports Bars', 'Restaurants']"
0m0KmAYGvC34MfwJIEgCEA,"['Burgers', 'American (Traditional)', 'Restaurants']"
QIFitAI_oB1zye5mGo5DjQ,"['Bars', 'American (New)', 'Cocktail Bars', 'Nightlife', 'Restaurants']"
z5CwyvKLt88rmWMG-H6MoQ,"['Arts & Entertainment', 'American (Traditional)', 'Music Venues', 'Bars', 'Dance Clubs', 'Nightlife', 'Bowling', 'Active Life', 'Restaurants']"
t7-vFrnBdN6Cn5XU4X3cgw,"['American (New)', 'Restaurants']"
bwu0cUZfksuu-uzTPrrl2A,"['Bars', 'American (Traditional)', 'Nightlife', 'Restaurants']"
XI13cv4463bz2tluEWgbPA,"['Bars', 'Latin American', 'Mexican', 'Nightlife', 'Restaurants']"
rlzXDxRcCLQ-tnfuZvLG7Q,"['Food', 'American (Traditional)', 'Street Vendors', 'Fast Food', 'Restaurants']"
EWMwV5V9BxNs_U6nNVMeqw,"['Bars', 'Mediterranean', 'Nightlife', 'Lounges', 'American (New)', 'Restaurants']"
CPAgXYZGlTyz7L2fvN_Erw,"['Bars', 'American (Traditional)', 'Dance Clubs', 'Nightlife', 'Sports Bars', 'Restaurants']"
8hDXefyRmWfw_Q0J_HN13Q,"['Bars', 'Sports Bars', 'Nightlife', 'American (New)', 'Chicken Wings', 'Restaurants']"
sDozh6iTylTJD26d7xcgGw,"['Arts & Entertainment', 'American (Traditional)', 'Music Venues', 'Bars', 'Nightlife', 'Restaurants']"
Xq9tkiHhyN_aBFswFeGLvA,"['Bars', 'American (Traditional)', 'Nightlife', 'Restaurants']"
rm_n78uMj7KC5IJf131XMA,"['American (New)', 'Restaurants']"
bOhqyyPWevbH8Yw5fop4zg,"['Arts & Entertainment', 'American (Traditional)', 'Music Venues', 'Bars', 'Nightlife', 'Restaurants']"
QUmoDqc2016XlV9cuM-apQ,"['American (New)', 'Restaurants']"
CQHKoO91ivQJ9hFDCFdSSw,"['Nightlife', 'Bars', 'American (Traditional)', 'Sports Bars', 'Restaurants']"
