SyZW-aiN4fHpH18-17mvRA,"['Burgers', 'Delis', 'American (Traditional)', 'Restaurants']"
O4ezPAZ9NLUYnigDekjz-Q,"['Burgers', 'Fast Food', 'Restaurants']"
kIco4kv-FHT6QqdkDQ2cow,"['Burgers', 'American (Traditional)', 'Fast Food', 'Restaurants']"
m08GS5E0mLUehS6Ardi7tA,"['Burgers', 'Fast Food', 'Restaurants']"
JMjjXpNR4EAooX6jtwNEaw,"['Burgers', 'Hot Dogs', 'Restaurants']"
QaC03H_XZKX9qPHLthIv7Q,"['Burgers', 'Fast Food', 'Restaurants']"
PhE7XCfBJLDRswoc8OfqUw,"['Burgers', 'Fast Food', 'Restaurants']"
NnYn9pYiQj1OgxNBPhA_3w,"['Burgers', 'Fast Food', 'Restaurants']"
uMO2dbCPPXNlifLqmDcVhQ,"['Burgers', 'Restaurants']"
3m7khDnqH9QOg8gu3Ymumw,"['Burgers', 'American (New)', 'Restaurants']"
eVZG9sXJSz9zZpX7H2WHiw,"['Burgers', 'Fast Food', 'Restaurants']"
PDbx8YH-AHKA4drZvfhKOg,"['Burgers', 'Fast Food', 'Restaurants']"
31BSDpbBAfUaul4MVFl9kQ,"['Burgers', 'Fast Food', 'Restaurants']"
MR3-Ll-hoUGZMA-B1MTgGQ,"['Burgers', 'Fast Food', 'Restaurants']"
z2gP9moC7j-OgM0K7Au9uw,"['Burgers', 'Breakfast & Brunch', 'Restaurants']"
QtgwtufoRomTKwase6BdEw,"['Burgers', 'Fast Food', 'Restaurants']"
g9f81sIwEk_-8u-8Dbu5cA,"['Burgers', 'Sandwiches', 'Restaurants']"
cEVR2hilzn1IgRuOBx3RMQ,"['Burgers', 'Fast Food', 'Restaurants']"
WjjpIUICNZZkp-eQzTC41g,"['Burgers', 'Fast Food', 'Restaurants']"
cXykQLP4Sr3tNii8k-zckg,"['Food', 'Burgers', 'Fast Food', 'Ice Cream & Frozen Yogurt', 'Restaurants']"
7t7ybDNlBCMprnK-czMldQ,"['Burgers', 'American (Traditional)', 'Fast Food', 'Restaurants']"
bgnPqytdYaNgHjDhrozjdQ,"['Bars', 'American (Traditional)', 'Burgers', 'Nightlife', 'Sports Bars', 'Restaurants']"
6hkBh8U1iYrZHofoUykUgA,"['Burgers', 'Bars', 'Nightlife', 'Restaurants']"
